nombres,nombre del plato,descripción,precio,URL de imagen,próximamente
Bubble Lattes,Fresa matcha,Latte con leche. Incluye tapioca,13.00,,
Bubble Lattes,Mango matcha,Latte con leche. Incluye tapioca,13.00,,
Bubble Lattes,Taro,Latte con leche. Incluye tapioca,13.00,,
Bubble Lattes,Taro oreo,Latte con leche. Incluye tapioca,13.00,,
Smoothies,Coconut,Bebida Tropical,17.00,,
Smoothies,Fresa,Smoothie refrescante de fresa natural,17.00,,
Smoothies,Fresa + Arándanos,Smoothie de fresas y arándanos frescos,17.00,,
Smoothies,Lucuma,Smoothie cremoso de lúcuma,17.00,,
Smoothies,Matcha,Smoothie de matcha con leche,17.00,,
Smoothies,Piña Colada,Bebida Tropical,17.00,,
Smoothies,Strawberry matcha,Especialidad. Incluye complemento tapioca,17.00,,
Smoothies,Taro,Smoothie de taro clásico,17.00,,
Smoothies,Taro oreo,Smoothie de taro con galletas oreo trituradas,17.00,,
Frappé,Frappe de Choco Menta,"No Incluye café, incluye crema batida y topping",16.00,,
Frappé,Frappe de Cookies and Cream,"No Incluye café, incluye crema batida y topping",16.00,,
Frappé,Frappe de Matcha,"No Incluye café, incluye crema batida y topping",16.00,,
Frappé,Frappe de Pistacho,"No Incluye café, incluye crema batida y topping",20.00,,on
Frappé,Frappe de maracuyá,"No Incluye café, incluye crema batida y topping",15.00,,
Frappé,Frappé de Algarrobina,"Incluye café, crema batida y topping",16.00,,
Frappé,Frappé de Baileys,"Incluye café, crema batida y topping",18.00,,
Frappé,Frappé de Choco lúcuma,"No Incluye café, incluye crema batida y topping",16.00,,
Frappé,Frappé de Fresa,"No Incluye café, incluye crema batida y topping",16.00,,
Frappé,Frappé de Mocha Blanco,"Incluye café, crema batida y topping",16.00,,
Frappé,Frappé de Nutella,"Incluye café, crema batida y topping",16.00,,
Frappé,Frappé de Pie de limón,"No Incluye café, incluye crema batida y topping",16.00,,
Frappé,Frappé de café,"Incluye café, crema batida y topping",15.00,,
Frappé,Frappé de caramelo,"Incluye café, crema batida y topping",16.00,,
Frappé,Frappé de manjar blanco,"Incluye café, crema batida y topping",15.00,,
Frappé,Frappé de moka,"Incluye café, crema batida y topping",16.00,,
Frappé,Frappé de oreo,"Incluye café, crema batida y topping",15.00,,
Helados Frito,Helado de Aguaymanto,Base Frutas,10.00,,
Helados Frito,Helado de Algarrobina,Otros sabores,12.00,,
Helados Frito,Helado de Arándanos,Base Frutas,10.00,,
Helados Frito,Helado de Baileys,Base Licores,14.00,,
Helados Frito,Helado de Beso de moza,Base Chocolates,10.00,,
Helados Frito,Helado de Café,Otros sabores,12.00,,
Helados Frito,Helado de Casino menta,Base Galletas,10.00,,
Helados Frito,Helado de Chocman,Base Chocolates,10.00,,
Helados Frito,Helado de Coco,Base Frutas,10.00,,
Helados Frito,Helado de Fresa,Base Frutas,10.00,,
Helados Frito,Helado de Kiwi,Base Frutas,10.00,,
Helados Frito,Helado de Limón,Base Frutas,10.00,,
Helados Frito,Helado de Lúcuma,Base Frutas,10.00,,
Helados Frito,Helado de Mango,Base Frutas,10.00,,
Helados Frito,Helado de Maracuyá,Base Frutas,10.00,,
Helados Frito,Helado de Morochas,Base Galletas,10.00,,
Helados Frito,Helado de Nutella,Base Chocolates,10.00,,
Helados Frito,Helado de Oreo,Base Galletas,10.00,,
Helados Frito,Helado de Piña Colada,Base Licores,14.00,,
Helados Frito,Helado de Plátano,Base Frutas,10.00,,
Helados Frito,Helado de Pícaras,Base Galletas,10.00,,
Helados Frito,Helado de Ron c/n pasas,Base Licores,14.00,,
Helados Frito,Helado de Vainilla,Base Galletas,10.00,,
Complementos,Barquillos,Topping para helado frito,,,
Complementos,Chin-chin,Topping para helado frito,,,
Complementos,Chispas de chocolate,Topping para helado frito,,,
Complementos,Gomitas,Topping para helado frito,,,
Complementos,Malvaviscos,Topping para helado frito,,,
Complementos,Oreo,Topping para helado frito,,,
Complementos,Pecanas,Topping para helado frito,,,
Complementos,Popping Boba,Topping para helados o bebidas,,,
Complementos,Tapioca,Complemento extra,,,
Sandwich,Ciabatta de Pollo,Apio y Mayonesa,7.00,,
Sandwich,Croisant Clásico,Jamón+ Queso Edam,8.00,,
Sandwich,Croisant de Pollo,Apio y Mayonesa,8.00,,
Sandwich,Empanada mixta,Jamón y queso,8.00,,
Sandwich,Triangulo Doble de Pollo,Apio y Mayonesa,7.00,,
Sandwich,Triple,"Pollo, Jamón y Queso",9.00,,
Postres,Cheesecake de Maracuya,,10.00,,
Postres,Queques,"Sabores: Zanahoria, Chocolate, Naranja, Plátano",4.00,,
Postres,Torta de Chocolate,,10.00,,
Postres,Carrot Cake,,10.00,,
