nombres,nombre del plato,descripción,precio,URL de imagen,próximamente
Bubble Juice,Fresa,Bebidas a base de frutas naturales,,,off
Bubble Juice,Fresa + papaya + piña,Bebidas a base de frutas naturales,,,off
Bubble Juice,Granadilla + naranja + ...,Bebidas a base de frutas naturales,,,off
Bubble Juice,Papaya + piña + naranja,Bebidas a base de frutas naturales,,,off
Bubble Juice,Piña,Bebidas a base de frutas naturales,,,off
Bubble Teas,Bubble Tea de Fresa,Jazmine green tea,,,off
Bubble Teas,Bubble Tea de Fresa + maracuyá,Jazmine green tea,,,off
Bubble Teas,Bubble Tea de Mango,Jazmine green tea,,,off
Bubble Teas,Bubble Tea de Mango + maracuyá,Jazmine green tea,,,off
Bubble Teas,Bubble Tea de Maracuyá,Jazmine green tea,,,off
Bubble Teas,Bubble Tea de Maracuyá + Sandia,Jazmine green tea,,,off
Bubble Teas,Bubble Tea de Piña,Jazmine green tea,,,off
Bubble Teas,Bubble Tea de Uva,Jazmine green tea,,,off
Bubble Lattes,Brown sugar,Latte con leche. Incluye tapioca,,,off
Bubble Lattes,Fresa matcha,Latte con leche. Incluye tapioca,,,off
Bubble Lattes,Mango matcha,Latte con leche. Incluye tapioca,,,off
Bubble Lattes,Matcha,Latte con leche. Incluye tapioca,,,off
Bubble Lattes,Matcha fresa,Latte con leche. Incluye tapioca,,,off
Bubble Lattes,Taro,Latte con leche. Incluye tapioca,,,off
Bubble Lattes,Taro oreo,Latte con leche. Incluye tapioca,,,off
Smoothies,Coconut,Bebida Tropical,,,off
Smoothies,Fresa,Smoothie refrescante de fresa natural,,,off
Smoothies,Fresa + Arándanos,Smoothie de fresas y arándanos frescos,,,off
Smoothies,Lucuma,Smoothie cremoso de lúcuma,,,off
Smoothies,Matcha,Smoothie de matcha con leche,,,off
Smoothies,Piña Colada,Bebida Tropical,,,off
Smoothies,Strawberry matcha,Especialidad. Incluye complemento tapioca,,,off
Smoothies,Taro,Smoothie de taro clásico,,,off
Smoothies,Taro oreo,Smoothie de taro con galletas oreo trituradas,,,off
Frappé,Frappe de Choco Menta,"No Incluye café, incluye crema batida y topping",s/15.00,,off
Frappé,Frappe de Cookies and Cream,"No Incluye café, incluye crema batida y topping",s/15.00,,off
Frappé,Frappe de Matcha,"No Incluye café, incluye crema batida y topping",s/15.00,,off
Frappé,Frappe de Pistacho,"No Incluye café, incluye crema batida y topping",s/15.00,,on
Frappé,Frappe de maracuyá,"No Incluye café, incluye crema batida y topping",s/15.00,,off
Frappé,Frappé de Algarrobina,"Incluye café, crema batida y topping",s/15.00,,off
Frappé,Frappé de Baileys,"Incluye café, crema batida y topping",s/15.00,,off
Frappé,Frappé de Choco lúcuma,"No Incluye café, incluye crema batida y topping",s/15.00,,off
Frappé,Frappé de Fresa,"No Incluye café, incluye crema batida y topping",s/15.00,,off
Frappé,Frappé de Mocha Blanco,"Incluye café, crema batida y topping",s/15.00,,off
Frappé,Frappé de Nutella,"Incluye café, crema batida y topping",s/15.00,,off
Frappé,Frappé de Pie de limón,"No Incluye café, incluye crema batida y topping",s/15.00,,off
Frappé,Frappé de café,"Incluye café, crema batida y topping",s/15.00,,off
Frappé,Frappé de caramelo,"Incluye café, crema batida y topping",s/15.00,,off
Frappé,Frappé de manjar blanco,"Incluye café, crema batida y topping",s/15.00,,off
Frappé,Frappé de moka,"Incluye café, crema batida y topping",s/15.00,,off
Frappé,Frappé de oreo,"Incluye café, crema batida y topping",s/15.00,,off
Helados Frito,Helado de Aguaymanto,Base Frutas,,,off
Helados Frito,Helado de Algarrobina,Otros sabores,s/12.00,,off
Helados Frito,Helado de Arándanos,Base Frutas,,,off
Helados Frito,Helado de Baileys,Base Licores,s/14.00,,off
Helados Frito,Helado de Beso de moza,Base Chocolates,s/10.00,,off
Helados Frito,Helado de Café,Otros sabores,s/12.00,,off
Helados Frito,Helado de Casino menta,Base Galletas,s/10.00,,off
Helados Frito,Helado de Chocman,Base Chocolates,s/10.00,,off
Helados Frito,Helado de Coco,Base Frutas,,,off
Helados Frito,Helado de Fresa,Base Frutas,,,off
Helados Frito,Helado de Kiwi,Base Frutas,,,off
Helados Frito,Helado de Limón,Base Frutas,,,off
Helados Frito,Helado de Lúcuma,Base Frutas,,,off
Helados Frito,Helado de Mango,Base Frutas,,,off
Helados Frito,Helado de Maracuyá,Base Frutas,,,off
Helados Frito,Helado de Morochas,Base Galletas,s/10.00,,off
Helados Frito,Helado de Nutella,Base Chocolates,s/10.00,,off
Helados Frito,Helado de Oreo,Base Galletas,s/10.00,,off
Helados Frito,Helado de Piña Colada,Base Licores,s/14.00,,off
Helados Frito,Helado de Plátano,Base Frutas,,,off
Helados Frito,Helado de Pícaras,Base Galletas,s/10.00,,off
Helados Frito,Helado de Ron c/n pasas,Base Licores,s/14.00,,off
Helados Frito,Helado de Vainilla,Base Galletas,s/10.00,,off
Complementos,Arándanos,Complemento extra,+S/3.00,,off
Complementos,Barquillos,Topping para helado frito,,,off
Complementos,Chin-chin,Topping para helado frito,,,off
Complementos,Chispas de chocolate,Topping para helado frito,,,off
Complementos,Fresa,Complemento extra,+S/3.00,,off
Complementos,Gomitas,Topping para helado frito,,,off
Complementos,Malvaviscos,Topping para helado frito,,,off
Complementos,Mango,Complemento extra,+S/3.00,,off
Complementos,Manzana Verde,Complemento extra,+S/3.00,,off
Complementos,Maracuyá,Complemento extra,+S/3.00,,off
Complementos,Oreo,Topping para helado frito,,,off
Complementos,Pecanas,Topping para helado frito,,,off
Complementos,Popping Boba,Topping para helados o bebidas,,,off
Complementos,Tapioca,Complemento extra,+S/3.00,,off
Sandwich,Ciabatta de Pollo,Apio y Mayonesa,s/7.00,,off
Sandwich,Croisant Clásico,Jamón+ Queso Edam,s/6.00,,off
Sandwich,Croisant de Pollo,Apio y Mayonesa,s/7.00,,off
Sandwich,Empanada mixta,Jamón y queso,s/7.00,,off
Sandwich,Triangulo Doble de Pollo,Apio y Mayonesa,s/6.00,,off
Sandwich,"Triple Pollo, Jamón y Queso","Pollo, Jamón y Queso",s/7.00,,off
Postres,Cheesecake de Maracuya,,s/10.00,,off
Postres,Queques,"Sabores: Zanahoria, Chocolate, Naranja, Plátano",s/4.00,,off
Postres,Torta de Chocolate,,s/8.00,,off
